Reg_cislo,Poradi,CJL_body,MA_body,MA_skola,Celkem,Prijat,Důvod_neprijeti
818242,170,21,41,61.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809079,171,24,39,58.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811571,172,27,37,55.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801709,173,28,36,54,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816645,174,26,37,55.5,81.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811813,175,23,38,57,80,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805922,176,24,37,55.5,79.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806108,177,25,36,54,79,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815047,178,25,36,54,79,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819569,179,17,41,61.5,78.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810463,180,20,39,58.5,78.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817411,181,15,42,63,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811075,182,18,40,60,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810730,183,21,38,57,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810687,184,27,34,51,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810708,185,30,32,48,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813741,186,30,32,48,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819442,187,29,32,48,77,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819466,188,22,36,54,76,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801442,189,26,33,49.5,75.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803692,190,18,38,57,75,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816681,191,20,36,54,74,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801000,192,21,35,52.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815884,193,21,35,52.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809265,194,30,29,43.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817325,195,22,34,51,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819061,196,28,30,45,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811754,197,15,38,57,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
